Gene Name	log2FoldChange	pvalue	padj
LINC01103	3.055001284	2.49E-11	3.89E-07
VPS28	-4.669639475	4.88E-10	3.81E-06
PHLPP1	4.698883635	7.59E-10	3.95E-06
IPO11	1.043381869	1.30E-09	5.07E-06
RETSAT	3.347402944	3.23E-08	0.00010085
RGS12	-1.643049506	4.96E-08	0.000102713
CDC42	2.089033219	5.00E-08	0.000102713
MRPS9-AS2	3.090570971	5.70E-08	0.000102713
TMED1	-4.443493798	5.92E-08	0.000102713
LOC643406	1.647310787	9.41E-08	0.000135587
LOC100144595	2.60723633	9.55E-08	0.000135587
FLT4	-3.751843049	1.14E-07	0.000148599
SNAPC4	-2.736137848	1.46E-07	0.000175719
PPP2R5E	3.228880829	1.63E-07	0.00017645
MBD4	-1.451050228	1.69E-07	0.00017645
ARL13B	3.340555321	2.03E-07	0.000198631
MIR4784	-1.783084597	2.30E-07	0.00021138
CD320	-2.252971809	2.88E-07	0.000250135
MIR631	1.364541909	3.29E-07	0.000270564
SOD2	3.915497381	3.94E-07	0.000307411
ISLR2	3.178548689	6.08E-07	0.000452303
GTPBP3	-1.479844359	6.92E-07	0.000491611
ENTPD1-AS1	1.137977675	8.34E-07	0.000500319
PTGES2	-2.950615429	8.63E-07	0.000500319
LARP6	5.015735831	8.66E-07	0.000500319
LINC01412	1.741591337	8.71E-07	0.000500319
RCC2	-4.859824742	8.75E-07	0.000500319
MOCOS	3.827175233	8.97E-07	0.000500319
TNFRSF25	-1.833094784	1.08E-06	0.000576428
ENTPD2	-1.06094973	1.11E-06	0.000576428
THOC3	-1.353440556	1.24E-06	0.000615797
GAMT	-1.386854331	1.29E-06	0.000615797
COQ10B	1.500108614	1.34E-06	0.000615797
RAD23B	3.652457761	1.34E-06	0.000615797
ADAP1	-5.028321911	1.58E-06	0.000693243
GUSBP14	1.451128037	1.61E-06	0.000693243
LINC01106	-1.906575515	1.64E-06	0.000693243
ORM2	-2.085720053	1.71E-06	0.000703747
STK25	-2.462838005	1.78E-06	0.000711411
LOC100132249	2.247230685	1.85E-06	0.00072076
TIMM17B	-2.653349495	1.92E-06	0.000724754
PDE4D	4.987050157	1.95E-06	0.000724754
LINC00487	2.032288672	2.00E-06	0.000727908
